model,speed_rpm,feed_mm_tooth,depth_mm,life_min,event
Ridge,1850.0,0.04625,2.5,50.37096892236982,1
Ridge,1850.0,0.04625,2.75,49.863756670464355,1
Ridge,1850.0,0.04625,3.0,49.396571324236305,1
Ridge,1850.0,0.04625,3.25,48.96349482523678,1
Ridge,1850.0,0.04625,3.5,48.55955371247938,1
Ridge,1850.0,0.0475,2.5,45.1309252999134,1
Ridge,1850.0,0.0475,2.75,44.63919039099617,1
Ridge,1850.0,0.0475,3.0,44.187054823359915,1
Ridge,1850.0,0.0475,3.25,43.76832351628892,1
Ridge,1850.0,0.0475,3.5,43.378112817205206,1
Ridge,1850.0,0.04875,2.5,40.70538012642293,1
Ridge,1850.0,0.04875,2.75,40.23068902328185,1
Ridge,1850.0,0.04875,3.0,39.79460910681129,1
Ridge,1850.0,0.04875,3.25,39.39113506885758,1
Ridge,1850.0,0.04875,3.5,39.01585140076586,1
Ridge,1850.0,0.05,2.5,36.91406009777404,1
Ridge,1850.0,0.05,2.75,36.45681430773237,1
Ridge,1850.0,0.05,3.0,36.03715396954189,1
Ridge,1850.0,0.05,3.25,35.64926017034434,1
Ridge,1850.0,0.05,3.5,35.2886962453521,1
Ridge,1850.0,0.05125,2.5,33.628474081074756,1
Ridge,1850.0,0.05125,2.75,33.1885206725113,1
Ridge,1850.0,0.05125,3.0,32.78504162480559,1
Ridge,1850.0,0.05125,3.25,32.41244806264344,1
Ridge,1850.0,0.05125,3.5,32.066243028400976,1
Ridge,1850.0,0.0525,2.5,30.753887115487455,1
Ridge,1850.0,0.0525,2.75,30.33051615299969,1
Ridge,1850.0,0.0525,3.0,29.942868557968616,1
Ridge,1850.0,0.0525,3.25,29.584893115310315,1
Ridge,1850.0,0.0525,3.5,29.252792704277866,1
Ridge,1850.0,0.05375,2.5,28.21822684001259,1
Ridge,1850.0,0.05375,2.75,27.81103011429982,1
Ridge,1850.0,0.05375,3.0,27.438440369845175,1
Ridge,1850.0,0.05375,3.25,27.094597909565,1
Ridge,1850.0,0.05375,3.5,26.7757841542037,1
Ridge,1850.0,0.055,2.5,25.965959047399608,1
Ridge,1850.0,0.055,2.75,25.5741828859536,1
Ridge,1850.0,0.055,3.0,25.21606229033555,1
Ridge,1850.0,0.055,3.25,24.885797714617027,1
Ridge,1850.0,0.055,3.5,24.579440058041875,1
